want 1134 MSA files (0 already present)
archive 107.2 GB, 48 workers
  [m25] + 1kjm_c.npz (1 KB)
  [m45] + 8fu4_c.npz (1 KB)
  [m28] + 4u1l_a.npz (943 KB)
  [m8] + 6vrn_a.npz (1002 KB)
  [m30] + 6vpz_c.npz (1 KB)
  [m27] + 3mrc_c.npz (1 KB)
  [m18] + 7sis_a.npz (988 KB)
  [m6] + 5wkh_c.npz (1 KB)
  [m17] + 6trn_c.npz (1 KB)
  [m42] + 5j6h_c.npz (1 KB)
  [m20] + 8gqw_c.npz (1 KB)
  [m38] + 4wj5_c.npz (1 KB)
  [m28] + 1inq_c.npz (1 KB)
  [m15] + 4qrr_e.npz (1 KB)
  [m40] + 3w0w_a.npz (1012 KB)
  [m34] + 7tlt_a.npz (1285 KB)
  [m4] + 1jpf_c.npz (1 KB)
  [m2] + 3sko_a.npz (999 KB)
  [m34] + 3bzf_a.npz (938 KB)
  [m26] + 5nq2_b.npz (250 KB)
  [m5] + 5wet_b.npz (237 KB)
  [m36] + 3lkq_c.npz (1 KB)
  [m27] + 7ciq_c.npz (1 KB)
  [m20] + 7re7_e.npz (1013 KB)
  [m26] + 7ema_c.npz (1 KB)
  [m45] + 4mji_a.npz (988 KB)
  [m27] + 8umo_e.npz (1 KB)
  [m29] + 3ecb_b.npz (238 KB)
  [m1] + 4g8i_c.npz (1 KB)
  [m31] + 5deg_a.npz (999 KB)
  [m46] + 6kwo_a.npz (960 KB)
  [m33] + 8tub_c.npz (1 KB)
  [m5] + 2h6p_c.npz (1 KB)
  [m35] + 6o9c_c.npz (1 KB)
  [m34] + 5bs0_c.npz (1 KB)
  [m25] + 3utt_c.npz (1 KB)
  [m45] + 6bxp_c.npz (1 KB)
  [m7] + 7p0t_b.npz (230 KB)
  [m3] + 7stf_b.npz (1 KB)
  [m32] + 5wes_c.npz (1 KB)
  [m25] + 6mt3_a.npz (985 KB)
  [m35] + 6kyu_b.npz (249 KB)
  [m22] + 3jts_a.npz (1000 KB)
  [m2] + 3bhb_c.npz (1 KB)
  [m32] + 3d18_c.npz (1 KB)
  [m30] + 3l3k_c.npz (1 KB)
  [m22] + 5w1w_a.npz (953 KB)
  [m9] + 1qew_c.npz (1 KB)
  [m3] + 3cpl_c.npz (1 KB)
  [m41] + 3x12_a.npz (965 KB)
  [m15] + 4pr5_c.npz (1 KB)
  [m22] + 6bj8_e.npz (1 KB)
  [m40] + 5gjx_a.npz (1148 KB)
  [m46] + 8ht1_a.npz (1010 KB)
  [m22] + 3rwg_b.npz (251 KB)
  [m20] + 4qrq_c.npz (1 KB)
  [m38] + 5ymw_a.npz (986 KB)
  [m18] + 5swq_c.npz (1 KB)
  [m32] + 6z9x_c.npz (1 KB)
  [m4] + 5ieh_c.npz (1 KB)
  [m17] + 6y2a_c.npz (1 KB)
  [m11] + 8d5f_c.npz (1 KB)
  [m20] + 7cjq_c.npz (1 KB)
  [m20] + 6j29_b.npz (1 KB)
